No,Type,Name,Level,Region,Formula1,Formula2
113,Table & Chart,Brands Value Share: Cereal Biscuits,Brand,Center,"""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""Center""'","""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""Center""'"
114,Table & Chart,Brands Volume Share: Puree,Brand,Center,"""Volume"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""Center""'","""Volume"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""Center""'"
115,Table & Chart,Brands Value Share: Puree,Brand,Center,"""Value"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""Center""'","""Value"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""Center""'"
116,Table & Chart,Brands Volume Share: IMF + Dry Food + Puree,Brand,East,"""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""East""'","""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""East""'"
117,Table & Chart,Brands Value Share: IMF + Dry Food + Puree,Brand,East,"""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""East""'","""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""East""'"
118,Table & Chart,Brands Volume Share: IMF + Dry Food,Brand,East,"""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""East""'","""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""East""'"
119,Table & Chart,Brands Value Share: IMF + Dry Food,Brand,East,"""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""East""'","""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""East""'"
120,Two charts 1,Price Segments in absolute  volume,PriceSegmentAbs,East,"""Volume"", ""PriceSegment"", 3, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""East""'","""Volume"", ""PriceSegment"", 3, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""East""'"
121,Table & Chart,Brands Volume Share: IMF,Brand,East,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""East""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""East""'"
122,Table & Chart,Brands Value Share: IMF,Brand,East,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""East""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""East""'"
123,Table & Chart,Brands Volume Share: Base IF,Brand,East,"""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""East""'","""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""East""'"
124,Table & Chart,Brands Value Share: Base IF,Brand,East,"""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""East""'","""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""East""'"
125,Table & Chart,Brands Volume Share: Base FO,Brand,East,"""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""East""'","""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""East""'"
126,Table & Chart,Brands Value Share: Base FO,Brand,East,"""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""East""'","""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""East""'"
127,Table & Chart,Brands Volume Share: Base Gum,Brand,East,"""Volume"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""East""'","""Volume"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""East""'"
128,Table & Chart,Brands Value Share: Base Gum,Brand,East,"""Value"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""East""'","""Value"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""East""'"
129,Table & Chart,Brands Volume Share: Specials,Brand,East,"""Volume"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""East""'","""Volume"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""East""'"
130,Table & Chart,Brands Value Share: Specials,Brand,East,"""Value"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""East""'","""Value"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""East""'"
131,Table & Chart,Brands Volume Share: Dry Food,Brand,East,"""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""East""'","""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""East""'"
132,Table & Chart,Brands Value Share: Dry Food,Brand,East,"""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""East""'","""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""East""'"
133,Table & Chart,Brands Volume Share: Instant Cereals,Brand,East,"""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""East""'","""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""East""'"
134,Table & Chart,Brands Value Share: Instant Cereals,Brand,East,"""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""East""'","""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""East""'"
135,Table & Chart,Brands Volume Share: Cereal Biscuits,Brand,East,"""Volume"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""East""'","""Volume"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""East""'"
136,Table & Chart,Brands Value Share: Cereal Biscuits,Brand,East,"""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""East""'","""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""East""'"
137,Table & Chart,Brands Volume Share: Puree,Brand,East,"""Volume"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""East""'","""Volume"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""East""'"
138,Table & Chart,Brands Value Share: Puree,Brand,East,"""Value"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""East""'","""Value"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""East""'"
139,Table & Chart,Brands Volume Share: IMF + Dry Food + Puree,Brand,South,"""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""South""'","""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""South""'"
140,Table & Chart,Brands Value Share: IMF + Dry Food + Puree,Brand,South,"""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""South""'","""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""South""'"
141,Table & Chart,Brands Volume Share: IMF + Dry Food,Brand,South,"""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""South""'","""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""South""'"
142,Table & Chart,Brands Value Share: IMF + Dry Food,Brand,South,"""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""South""'","""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""South""'"
143,Two charts 1,Price Segments in absolute  volume,PriceSegmentAbs,South,"""Volume"", ""PriceSegment"", 3, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""South""'","""Volume"", ""PriceSegment"", 3, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""South""'"
144,Table & Chart,Brands Volume Share: IMF,Brand,South,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""South""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""South""'"
145,Table & Chart,Brands Value Share: IMF,Brand,South,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""South""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""South""'"
146,Table & Chart,Brands Volume Share: Base IF,Brand,South,"""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""South""'","""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""South""'"
147,Table & Chart,Brands Value Share: Base IF,Brand,South,"""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""South""'","""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""South""'"
148,Table & Chart,Brands Volume Share: Base FO,Brand,South,"""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""South""'","""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""South""'"
149,Table & Chart,Brands Value Share: Base FO,Brand,South,"""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""South""'","""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""South""'"
150,Table & Chart,Brands Volume Share: Base Gum,Brand,South,"""Volume"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""South""'","""Volume"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""South""'"
151,Table & Chart,Brands Value Share: Base Gum,Brand,South,"""Value"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""South""'","""Value"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""South""'"
152,Table & Chart,Brands Volume Share: Specials,Brand,South,"""Volume"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""South""'","""Volume"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""South""'"
153,Table & Chart,Brands Value Share: Specials,Brand,South,"""Value"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""South""'","""Value"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""South""'"
154,Table & Chart,Brands Volume Share: Dry Food,Brand,South,"""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""South""'","""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""South""'"
155,Table & Chart,Brands Value Share: Dry Food,Brand,South,"""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""South""'","""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""South""'"
156,Table & Chart,Brands Volume Share: Instant Cereals,Brand,South,"""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""South""'","""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""South""'"
157,Table & Chart,Brands Value Share: Instant Cereals,Brand,South,"""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""South""'","""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""South""'"
158,Table & Chart,Brands Volume Share: Cereal Biscuits,Brand,South,"""Volume"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""South""'","""Volume"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""South""'"
159,Table & Chart,Brands Value Share: Cereal Biscuits,Brand,South,"""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""South""'","""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""South""'"
160,Table & Chart,Brands Volume Share: Puree,Brand,South,"""Volume"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""South""'","""Volume"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""South""'"
161,Table & Chart,Brands Value Share: Puree,Brand,South,"""Value"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""South""'","""Value"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""South""'"
162,Table & Chart,Brands Volume Share: IMF + Dry Food + Puree,Brand,West,"""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""West""'","""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""West""'"
163,Table & Chart,Brands Value Share: IMF + Dry Food + Puree,Brand,West,"""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""West""'","""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"" | PS3 == ""Savoury Meal"" | PS3 == ""Fruits"") & Region == ""West""'"
164,Table & Chart,Brands Volume Share: IMF + Dry Food,Brand,West,"""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""West""'","""Volume"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""West""'"
165,Table & Chart,Brands Value Share: IMF + Dry Food,Brand,West,"""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""West""'","""Value"", ""Brand"", 11, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""West""'"
166,Two charts 1,Price Segments in absolute  volume,PriceSegmentAbs,West,"""Volume"", ""PriceSegment"", 3, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""West""'","""Volume"", ""PriceSegment"", 3, '(PS0 == ""IMF"" | PS2 == ""Dry Food"") & Region == ""West""'"
167,Table & Chart,Brands Volume Share: IMF,Brand,West,"""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""West""'","""Volume"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""West""'"
168,Table & Chart,Brands Value Share: IMF,Brand,West,"""Value"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""West""'","""Value"", ""Brand"", 11, 'PS0 == ""IMF"" & Region == ""West""'"
169,Table & Chart,Brands Volume Share: Base IF,Brand,West,"""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""West""'","""Volume"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""West""'"
170,Table & Chart,Brands Value Share: Base IF,Brand,West,"""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""West""'","""Value"", ""Brand"", 10, 'PS2 == ""IF"" & PS3 == ""Base"" & Region == ""West""'"
171,Table & Chart,Brands Volume Share: Base FO,Brand,West,"""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""West""'","""Volume"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""West""'"
172,Table & Chart,Brands Value Share: Base FO,Brand,West,"""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""West""'","""Value"", ""Brand"", 10, 'PS2 == ""FO"" & PS3 == ""Base"" & Region == ""West""'"
173,Table & Chart,Brands Volume Share: Base Gum,Brand,West,"""Volume"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""West""'","""Volume"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""West""'"
174,Table & Chart,Brands Value Share: Base Gum,Brand,West,"""Value"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""West""'","""Value"", ""Brand"", 10, 'PS2 == ""Gum"" & PS3 == ""Base"" & Region == ""West""'"
175,Table & Chart,Brands Volume Share: Specials,Brand,West,"""Volume"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""West""'","""Volume"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""West""'"
176,Table & Chart,Brands Value Share: Specials,Brand,West,"""Value"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""West""'","""Value"", ""Brand"", 11, 'PS3 == ""Specials"" & Region == ""West""'"
177,Table & Chart,Brands Volume Share: Dry Food,Brand,West,"""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""West""'","""Volume"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""West""'"
178,Table & Chart,Brands Value Share: Dry Food,Brand,West,"""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""West""'","""Value"", ""Brand"", 10, 'PS2 == ""Dry Food"" & Region == ""West""'"
179,Table & Chart,Brands Volume Share: Instant Cereals,Brand,West,"""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""West""'","""Volume"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""West""'"
180,Table & Chart,Brands Value Share: Instant Cereals,Brand,West,"""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""West""'","""Value"", ""Brand"", 10, 'PS3 == ""Instant Cereals"" & Region == ""West""'"
181,Table & Chart,Brands Volume Share: Cereal Biscuits,Brand,West,"""Volume"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""West""'","""Volume"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""West""'"
182,Table & Chart,Brands Value Share: Cereal Biscuits,Brand,West,"""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""West""'","""Value"", ""Brand"", 10, 'PS3 == ""Cereal Biscuits"" & Region == ""West""'"
183,Table & Chart,Brands Volume Share: Puree,Brand,West,"""Volume"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""West""'","""Volume"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""West""'"
184,Table & Chart,Brands Value Share: Puree,Brand,West,"""Value"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""West""'","""Value"", ""Brand"", 10, '(PS3 == ""Fruits"" | PS3 == ""Savoury Meal"") & Region == ""West""'"
